recipe_name,ingredients,ingredient_quantities,steps
Bicol Express,"Baboy,Gata,SilingLabuyo,Bawang,Sibuyas,Asin,Paminta","500g Baboy, 2 cups Gata, 6 pcs SilingLabuyo, 4 cloves Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Gisa ang bawang at sibuyas. 2. Idagdag ang baboy at pakuluin hanggang magmantika. 3. Ibuhos ang gata at hinaan ang apoy. 4. Ihalo ang siling labuyo. 5. Timplahan ng asin at paminta. 6. Pakuluin hanggang lumapot."
Laing,"TaroLeaves,Gata,Bawang,Sibuyas,SilingLabuyo,Asin,Paminta","10 TaroLeaves, 3 cups Gata, 3 cloves Bawang, 1 Sibuyas, 5 SilingLabuyo, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang taro leaves at gata sa palayok. 2. Dagdagan ng bawang, sibuyas at sili. 3. Pakuluan nang hindi hinahalo. 4. Timplahan at hayaang lumapot."
Pinangat na Laing,"TaroLeaves,Gata,Baboy,Luya,Bawang,Asin,Paminta","10 TaroLeaves, 1 cup Gata, 200g Baboy, 1 thumb Luya, 3 cloves Bawang, 1 tsp Asin, 1/2 tsp Paminta","1. Balutin ang baboy gamit ang taro leaves. 2. Ilagay sa palayok. 3. Ibuhos ang gata at idagdag ang luya at bawang. 4. Pakuluin hanggang lumambot."
Ginataang Hipon,"Hipon,Gata,Bawang,Sibuyas,SilingLabuyo,Asin,Paminta","500g Hipon, 2 cups Gata, 3 cloves Bawang, 1 Sibuyas, 4 SilingLabuyo, 1 tsp Asin, 1/2 tsp Paminta","1. Ihalo ang hipon at gata sa kawali. 2. Idagdag ang bawang, sibuyas at sili. 3. Pakuluin hanggang lumapot."
Kinunot na Isda,"Isda,Gata,Luya,Bawang,Sibuyas,SilingLabuyo,DahonSibuyas,Asin","400g Isda, 3 cups Gata, 1 thumb Luya, 4 cloves Bawang, 1 Sibuyas, 5 SilingLabuyo, 1 cup DahonSibuyas, 1 tsp Asin","1. Pakuluan ang isda hanggang madurog. 2. Igisa ang luya, bawang at sibuyas. 3. Idagdag ang gata at sili. 4. Ihalo ang isda at dahon sibuyas."
Ginataang Kalabasa,"Kalabasa,Gata,Bawang,Sibuyas,Asin,Paminta","500g Kalabasa, 2 cups Gata, 3 cloves Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Idagdag ang kalabasa. 3. Ibuhos ang gata. 4. Pakuluin hanggang lumambot."
Ginataang Sitaw at Kalabasa,"Kalabasa,Gata,DahonSibuyas,Bawang,Sibuyas,Asin,Paminta","400g Kalabasa, 2 cups Gata, 1 cup DahonSibuyas, 3 cloves Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Idagdag ang kalabasa. 3. Ibuhos ang gata. 4. Ilagay ang dahon sibuyas."
Tinolang Manok,"Manok,Luya,Sibuyas,Pechay,Asin,Paminta","1 kilo Manok, 1 thumb Luya, 1 Sibuyas, 1 bundle Pechay, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang luya at sibuyas. 2. Idagdag ang manok at pakuluin. 3. Lagyan ng tubig. 4. Ilagay ang pechay."
Sinigang na Baboy,"Baboy,Kamatis,Sibuyas,Asin","500g Baboy, 2 Kamatis, 1 Sibuyas, 1 tsp Asin","1. Pakuluin ang baboy. 2. Ilagay ang kamatis at sibuyas. 3. Timplahan ng asin."
Adobong Baboy,"Baboy,Bawang,Sibuyas,Paminta,Asin,Patis","500g Baboy, 5 Bawang, 1 Sibuyas, 1 tsp Paminta, 1 tsp Asin, 2 tbsp Patis","1. Igisa ang bawang at sibuyas. 2. Idagdag ang baboy. 3. Lagyan ng patis at paminta. 4. Pakuluin hanggang lumambot."
Ginisang Upo,"Upo,Bawang,Sibuyas,Asin","1 Upo, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang upo. 3. Pakuluan hanggang maluto."
Ginisang Ampalaya,"Ampalaya,Bawang,Sibuyas,Itlog,Asin,Paminta","2 Ampalaya, 3 Bawang, 1 Sibuyas, 2 Itlog, 1 tsp Asin, 1/2 tsp Paminta","1. Tanggalin ang pait. 2. Igisa ang bawang at sibuyas. 3. Idagdag ang ampalaya. 4. Ilagay ang itlog."
Pritong Isda,"Isda,Asin,Paminta","2 Isda, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang isda. 2. Iprito hanggang golden brown."
Ginisang Pechay,"Pechay,Bawang,Sibuyas,Asin,Paminta","1 bundle Pechay, 3 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Ilagay ang pechay. 3. Timplahan."
Ginataang Upo,"Upo,Gata,Bawang,Sibuyas,Asin,Paminta","1 Upo, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Ilagay ang upo. 3. Ibuhos ang gata."
Ginataang Talong,"Talong,Gata,Bawang,Sibuyas,Asin","3 Talong, 1.5 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Ihawin ang talong. 2. Igisa ang bawang at sibuyas. 3. Idagdag ang gata."
Inihaw na Hipon,"Hipon,Asin,Paminta","500g Hipon, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang hipon. 2. I-ihaw hanggang luto."
Sinigang na Hipon,"Hipon,Kamatis,Sibuyas,Asin","500g Hipon, 2 Kamatis, 1 Sibuyas, 1 tsp Asin","1. Pakuluin ang tubig. 2. Idagdag ang kamatis at sibuyas. 3. Ilagay ang hipon."
Ginataang Manok,"Manok,Gata,Bawang,Sibuyas,SilingLabuyo,Asin","1 kilo Manok, 2 cups Gata, 3 Bawang, 1 Sibuyas, 3 SilingLabuyo, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang manok. 3. Ibuhos ang gata at sili. 4. Pakuluin."
Adobong Manok,"Manok,Bawang,Sibuyas,Paminta,Patis,Asin","1 kilo Manok, 4 Bawang, 1 Sibuyas, 1 tsp Paminta, 2 tbsp Patis, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang manok. 3. Lagyan ng patis at paminta."
Ginataang Pusit,"Pusit,Gata,Bawang,Sibuyas,Asin,Paminta","500g Pusit, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Idagdag ang pusit. 3. Ibuhos ang gata. 4. Pakuluin."
Pritong Baboy,"Baboy,Asin,Paminta","500g Baboy, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang baboy. 2. Iprito hanggang golden."
Ginisang Mais,"Mais,Bawang,Sibuyas,Asin","2 Mais, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang mais. 3. Pakuluan ng kaunti."
Ginataang Mais,"Mais,Gata,Sibuyas,Bawang,Asin","2 Mais, 2 cups Gata, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Pagsamahin ang mais at gata. 2. Dagdagan ng sibuyas at bawang. 3. Pakuluin hanggang lumapot."
Ginataang Papaya,"Papaya,Gata,Sibuyas,Bawang,Asin","1 Papaya, 2 cups Gata, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang sibuyas at bawang. 2. Idagdag ang papaya. 3. Ibuhos ang gata."
Adobong Kangkong,"KangKong,Bawang,Sibuyas,Patis,Paminta","1 bundle KangKong, 4 Bawang, 1 Sibuyas, 1 tbsp Patis, 1 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Idagdag ang kangkong. 3. Lagyan ng patis at paminta."
Ginataang Kangkong,"KangKong,Gata,Sibuyas,Bawang,Asin","1 bundle KangKong, 2 cups Gata, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang sibuyas at bawang. 2. Idagdag ang kangkong. 3. Ibuhos ang gata."
Talong Omelette,"Talong,Itlog,Bawang,Sibuyas,Asin","2 Talong, 2 Itlog, 2 Bawang, 1 Sibuyas, 1 tsp Asin","1. Ihawin ang talong. 2. Durugin. 3. Ihalo ang itlog, bawang, sibuyas. 4. Iprito."
Pangat na Isda,"Isda,Kamatis,Sibuyas,Luya,Asin","2 Isda, 2 Kamatis, 1 Sibuyas, 1 thumb Luya, 1 tsp Asin","1. Ilagay ang isda sa palayok. 2. Dagdagan ng kamatis, luya at sibuyas. 3. Pakuluin."
Inihaw na Baboy,"Baboy,Asin,Paminta","500g Baboy, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang baboy. 2. I-ihaw sa uling."
Paksiw na Isda,"Isda,Bawang,Sibuyas,Patis,Asin,Paminta","2 Isda, 3 Bawang, 1 Sibuyas, 2 tbsp Patis, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang isda sa kaserola. 2. Idagdag ang bawang, sibuyas at patis. 3. Pakuluin."
Ginataang Tahong,"Tahong,Gata,Bawang,Sibuyas,SilingLabuyo,Asin","500g Tahong, 2 cups Gata, 3 Bawang, 1 Sibuyas, 3 SilingLabuyo, 1 tsp Asin","1. Pakuluan ang tahong. 2. Igisa ang bawang at sibuyas. 3. Ibuhos ang gata at sili. 4. Ilagay ang tahong."
Pritong Tahong,"Tahong,Asin,Paminta","500g Tahong, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang tahong. 2. Iprito hanggang crispy."
Ginataang Pilinut,"Pilinuts,Gata,Sibuyas,Bawang,Asin","1 cup Pilinuts, 1.5 cups Gata, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang sibuyas at bawang. 2. Idagdag ang pilinut. 3. Ibuhos ang gata."
Sweetened Saging,"Saging na saba,Asin","6 Saging na saba, 1 pinch Asin","1. Balatan ang saging. 2. Pakuluin sa tubig na may asin."
Ginataang Saging,"Saging na saba,Gata,Asin","6 Saging na saba, 2 cups Gata, 1 tsp Asin","1. Pagsamahin ang gata at asin. 2. Idagdag ang saging. 3. Pakuluin."
Ginataang Mais at Kalabasa,"Mais,Kalabasa,Gata,Bawang,Sibuyas,Asin","1 Mais, 300g Kalabasa, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang mais at kalabasa. 3. Ibuhos ang gata."
Papaya Soup,"Papaya,Sibuyas,Bawang,Asin","1 Papaya, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang papaya at tubig. 3. Timplahan."
Talong Curry (Filipino),"Talong,Gata,Bawang,Sibuyas,SilingLabuyo,Asin","3 Talong, 2 cups Gata, 3 Bawang, 1 Sibuyas, 3 SilingLabuyo, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang talong. 3. Ibuhos ang gata at sili."
Hipon Guisado,"Hipon,Bawang,Sibuyas,Asin,Paminta","500g Hipon, 4 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Igisa ang bawang at sibuyas. 2. Idagdag ang hipon. 3. Timplahan."
Ginisang Kamatis,"Kamatis,Bawang,Sibuyas,Asin","4 Kamatis, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang kamatis. 3. Pakuluin."
Ginataang Luya Chicken,"Manok,Gata,Luya,Sibuyas,Bawang,Asin","1 kilo Manok, 2 cups Gata, 1 thumb Luya, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang luya, sibuyas at bawang. 2. Idagdag ang manok. 3. Ibuhos ang gata."
Ginataang Papaya at Hipon,"Papaya,Hipon,Gata,Sibuyas,Bawang,Asin","1 Papaya, 300g Hipon, 2 cups Gata, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang papaya. 3. Ilagay ang hipon at gata."
Pritong Talong,"Talong,Asin","3 Talong, 1 tsp Asin","1. Hiwain ang talong. 2. Timplahan. 3. Iprito."
Ginataang Tanglad Chicken,"Manok,Gata,Tanglad,Sibuyas,Bawang,Asin","1 kilo Manok, 2 cups Gata, 2 Tanglad stalks, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang manok at tanglad. 3. Ibuhos ang gata."
Ginataang Tahong sa Tanglad,"Tahong,Gata,Tanglad,Sibuyas,Bawang,Asin","500g Tahong, 2 cups Gata, 1 Tanglad stalk, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Pakuluan ang tahong. 2. Igisa ang bawang at sibuyas. 3. Idagdag ang gata at tanglad."
Pritong Kalabasa,"Kalabasa,Asin","300g Kalabasa, 1 tsp Asin","1. Hiwain ang kalabasa. 2. Timplahan. 3. Iprito."
Okra Steam,"Okra,Asin","10 Okra, 1 tsp Asin","1. Pakuluan ang tubig. 2. I-steam ang okra. 3. Timplahan ng asin."
Ginataang Okra,"Okra,Gata,Bawang,Sibuyas,Asin","10 Okra, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang okra. 3. Ibuhos ang gata."
Inihaw na Pusit,"Pusit,Asin,Paminta","500g Pusit, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang pusit. 2. I-ihaw."
Ginataang Talbos na Mais,"Mais,DahonSibuyas,Gata,Bawang,Sibuyas,Asin","1 Mais, 1 cup DahonSibuyas, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang mais at dahon sibuyas. 3. Ibuhos ang gata."
Pinakuluang Manok,"Manok,Asin,Paminta","1 kilo Manok, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang manok sa tubig. 2. Pakuluin. 3. Timplahan."
Kalabasa Mash,"Kalabasa,Asin","300g Kalabasa, 1 tsp Asin","1. Pakuluan ang kalabasa. 2. Durugin. 3. Timplahan."
Hipon Soup,"Hipon,Sibuyas,Bawang,Asin","300g Hipon, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Pakuluan ang tubig. 2. Ilagay ang hipon. 3. Dagdagan ng bawang at sibuyas."
Papaya Guisado,"Papaya,Bawang,Sibuyas,Asin","1 Papaya, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang papaya. 3. Timplahan."
Kamatis Omelette,"Kamatis,Itlog,Sibuyas,Asin","2 Kamatis, 2 Itlog, 1 Sibuyas, 1 tsp Asin","1. Haluin ang itlog, kamatis at sibuyas. 2. Iprito."
Ginataang Isda,"Isda,Gata,Bawang,Sibuyas,Asin,Paminta","2 Isda, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang isda sa kawali. 2. Ibuhos ang gata. 3. Dagdagan ng bawang at sibuyas."
